feature,auc,auc_strength,auc_bull,auc_bear,spear_abs,spear_signed
p1_leg_speed,0.4931726285065022,0.006827371493497825,0.49413816576879777,0.4919510703525154,0.2200840293360196,0.011100714353331114
p7_rsi,0.5067574357731038,0.006757435773103837,0.5084901105966529,0.5045653266318348,-0.020349918618078455,0.005165954878540624
p5_trend_state,0.493249505492285,0.006750494507714977,0.4903226562831275,0.49695243510106624,0.004496112559797858,-0.001165376115296729
p5_macd_signal,0.5066894928719976,0.006689492871997604,0.5116518447581887,0.5004113287386779,-0.03442226325637431,0.0023341236267112953
p4_ema20_dist,0.5066284894881932,0.006628489488193168,0.5113303846917521,0.5006798444701412,-0.022388486068699906,-0.0012323484528856726
p1_cp_lower_wick,0.5065776364692195,0.006577636469219494,0.5054750287997457,0.507972610482021,-0.0020015587530483785,-0.00011283609943247483
p4_bb_position,0.5065451779880468,0.006545177988046769,0.509846363374364,0.5023686535969635,-0.01708147088982236,-0.0013373726247964907
p7_ema20_dist,0.5064915579414343,0.0064915579414343005,0.5089925649371398,0.5033273864401518,-0.018005842291791755,0.004448265467973969
p5_ema50_dist,0.5063114024162465,0.006311402416246503,0.5109134239806219,0.500489113431335,-0.030164680059000387,0.0039024741206186726
p19_leg_speed,0.5062889090026725,0.006288909002672538,0.5144199887763825,0.49600180027454693,0.1280693159601446,0.02329669670724124
p5_macd_line,0.506227677979082,0.006227677979081969,0.5101755043188843,0.5012330499680995,-0.0309992863020577,0.003806036797051692
curr_minus_di,0.49397257957653434,0.006027420423465657,0.47023319950568543,0.5240066698478799,0.05965686699017847,-0.009525217640200699
p13_leg_speed,0.4940105777457099,0.005989422254290111,0.5003580070941601,0.48598007039996666,0.14381662514097687,0.018551232653555714
p4_trend_state,0.4940263905531039,0.005973609446896122,0.485487778090604,0.5048290929288778,0.011161155376330476,-0.0028715931320003533
p6_stoch_cross,0.4941355224650291,0.00586447753497088,0.48969926193205526,0.4997480973897702,-0.015852684368540978,-0.004868234717880678
p11_leg_size_pct,0.49415887321820706,0.005841126781792938,0.4971486050283564,0.4903763871210487,0.18454865164063053,0.019671656547725784
curr_cp_consec_dir,0.5058150045336425,0.005815004533642476,0.5088762775488158,0.5019420074373178,0.007435185278865138,0.002369914573877744
p3_retrace_pct,0.4942015078970532,0.005798492102946806,0.4913337282367177,0.49782970513471436,-0.004908469398778185,-0.002065559936656478
p5_retrace_pct,0.49428472538896023,0.005715274611039767,0.49072822695487356,0.49878426137938925,-0.008354879103002838,-0.0027219648312805356
p20_leg_duration,0.5057148867299367,0.005714886729936697,0.5078216318177146,0.5030495192285025,-0.012745592110594924,0.004505612869141793
curr_ema50_dist,0.5057140647405385,0.005714064740538483,0.5254262617651972,0.48077500133120554,-0.04242352828531661,0.004056176666790528
p14_trend_state,0.4943108177253982,0.005689182274601801,0.49186803838179466,0.49740132198877013,-0.0024539559338415317,-0.0003742586613216842
p10_leg_size_pct,0.4943832749643103,0.005616725035689718,0.49853875945689113,0.48912592637311403,0.18942038866464164,0.0157830438253478
